combined_name,group_id,artifact_id,latest_release,release_count,releases_with_cves,total_releases_cve_count,low_severity_count,moderate_severity_count,high_severity_count,critical_severity_count,unknown_severity_count
com.github.kevinsawicki:http-request,com.github.kevinsawicki,http-request,6.0,29,29,29,0,29,0,0,0
com.github.junrar:junrar,com.github.junrar,junrar,7.5.5,22,15,17,0,2,15,0,0
com.github.jlangch:venice,com.github.jlangch,venice,1.12.31,229,153,153,0,153,0,0,0
com.github.kfcfans:powerjob,com.github.kfcfans,powerjob,3.0.0,3,3,3,0,0,3,0,0
com.github.samtools:htsjdk,com.github.samtools,htsjdk,4.1.1,80,70,70,0,0,70,0,0
com.github.seancfoley:ipaddress,com.github.seancfoley,ipaddress,5.5.1,27,23,23,0,23,0,0,0
com.github.penggle:kaptcha,com.github.penggle,kaptcha,2.3.2,1,1,1,0,0,0,1,0
com.github.pagehelper:pagehelper,com.github.pagehelper,pagehelper,6.1.0,70,54,54,0,0,0,54,0
com.github.shyiko.ktlint:ktlint-core,com.github.shyiko.ktlint,ktlint-core,0.31.0,51,49,49,0,0,49,0,0
com.github:hyavijava,com.github,hyavijava,6.0.07.1,4,4,4,0,0,0,4,0
com.glazedlists:glazedlists,com.glazedlists,glazedlists,1.11.0,1,1,1,0,0,0,1,0
com.github.tomakehurst:wiremock-jre8,com.github.tomakehurst,wiremock-jre8,2.35.2,33,29,29,29,0,0,0,0
com.github.tomakehurst:wiremock-jre8-standalone,com.github.tomakehurst,wiremock-jre8-standalone,2.35.2,33,29,29,29,0,0,0,0
com.github.wxpay:wxpay-sdk,com.github.wxpay,wxpay-sdk,0.0.3,3,3,3,0,0,3,0,0
com.google.cloud.tools:jib-core,com.google.cloud.tools,jib-core,0.27.1,27,20,20,0,0,0,20,0
com.hazelcast:hazelcast,com.hazelcast,hazelcast,5.5.0,268,260,1439,0,513,678,248,0
com.hazelcast.jet:hazelcast-jet,com.hazelcast.jet,hazelcast-jet,4.5.4,27,26,35,0,0,0,35,0
com.google.gerrit:gerrit-plugin-api,com.google.gerrit,gerrit-plugin-api,3.10.1,323,159,159,159,0,0,0,0
com.hotels.styx:styx-api,com.hotels.styx,styx-api,1.0.0-rc4,22,11,11,0,11,0,0,0
com.googlecode.gwtupload:gwtupload,com.googlecode.gwtupload,gwtupload,1.0.3,10,10,10,0,10,0,0,0
com.graphhopper:graphhopper-web-bundle,com.graphhopper,graphhopper-web-bundle,9.1,125,103,103,0,103,0,0,0
com.graphhopper:graphhopper-nav,com.graphhopper,graphhopper-nav,9.1,36,7,7,0,7,0,0,0
com.google.code.gson:gson,com.google.code.gson,gson,2.11.0,37,31,31,0,0,31,0,0
com.google.gwt:gwt,com.google.gwt,gwt,2.10.0,34,12,12,0,12,0,0,0
