group,name,version,github_url,stars,forks,open_issues,contributors,watchers,downloads,dependencies,license,documentation,test_code,build_status,vulnerabilities,badges,website,releases,closed_issues,commit_frequency,usage
com.jfinal,jfinal,1.4.0,https://github.com/jfinal/jfinal.git,3234,1321,12,23,356,0,0,Apache License 2.0,,,,0,,https://jfinal.com,0,194,0,
com.jsoniter,jsoniter,0.9.1,http://github.com/json-iterator/java/tree/master,1506,519,109,17,117,0,0,MIT License,,,,0,,http://jsoniter.com/,4,244,0,
com.liferay,com.liferay.portal.tools.bundle.support,3.2.7,http://github.com/liferay/liferay-portal,2086,3622,58,1553,165,0,0,Other,,,,0,,http://liferay.com,139,6020,0,
com.liferay.portal,release.dxp.bom,7.3.10.ep3,https://github.com/liferay/liferay-portal,2086,3622,58,1553,165,0,0,Other,,,,0,,http://liferay.com,139,6020,0,
com.linecorp.centraldogma,centraldogma-server-auth-saml,0.33.0,https://github.com/line/centraldogma,599,117,168,41,33,0,0,Apache License 2.0,,,,0,,https://line.github.io/centraldogma/,123,870,0,
com.linecorp.armeria,armeria-saml,0.69.0,https://github.com/line/armeria,4801,914,665,254,185,0,0,Apache License 2.0,,,,0,,https://armeria.dev,243,5226,0,
com.microsoft.commondatamodel,objectmodel,1.0.6,http://github.com/Microsoft/CDM,1671,527,24,25,155,0,0,Creative Commons Attribution 4.0 International,,,,0,,https://powerplatform.microsoft.com/en-us/common-data-model/,0,361,0,
com.mapbox.mapboxsdk,mapbox-android-core,0.1.0,https://github.com/mapbox/mapbox-events-android,60,48,22,26,105,0,0,MIT License,,,,0,,https://docs.mapbox.com/android/core/overview,80,558,0,
com.monitorjbl,xlsx-streamer,0.2.3,https://github.com/monitorjbl/excel-streaming-reader.git,951,343,100,37,66,0,0,Apache License 2.0,,,,0,,,22,168,0,
com.microsoft.azure,msal4j,1.14.4-beta,https://github.com/AzureAD/microsoft-authentication-library-for-java,285,142,61,45,53,0,0,MIT License,,,,0,,,51,802,0,
com.neovisionaries,nv-websocket-client,1.0,https://github.com/TakahikoKawasaki/nv-websocket-client.git,2027,292,92,10,65,0,0,Apache License 2.0,,,,0,,,0,159,0,
com.nepxion,discovery,1.0.0,https://github.com/Nepxion/Discovery,5611,1425,11,19,238,0,0,Apache License 2.0,,,,0,,http://www.nepxion.com,130,185,0,
com.netflix.hollow,hollow,2.0.0,https://github.com/Netflix/hollow.git,1202,215,137,68,377,0,0,Apache License 2.0,,,,0,,,282,556,0,
com.netflix.conductor,conductor-core,0.0.4,https://github.com/Netflix/conductor.git,12823,2336,164,303,552,0,0,Apache License 2.0,,,,0,,,319,3115,0,
com.mysql,mysql-connector-j,8.0.31,https://github.com/mysql/mysql-connector-j,898,588,2,25,79,0,0,Other,,,,0,,,0,111,0,
com.pubnub,pubnub-kotlin,4.0.0,https://github.com/pubnub/kotlin,7,9,10,17,14,0,0,Other,,,,0,,,55,286,0,
com.predic8,soa-model-parent,1.5.4,https://github.com/membrane/soa-model,94,73,56,33,23,0,0,Apache License 2.0,,,,0,,http://www.membrane-soa.org/soa-model/,32,239,0,
com.progsbase.libraries,JSON,0.3.7,https://github.com/InductiveComputerScience/JSON,0,0,3,2,2,0,0,MIT License,,,,0,,https://repo.progsbase.com/repoviewer/no.inductive.idea10.programs/JSON/latest/,0,1,0,
com.pubnub,pubnub,3.4,https://github.com/pubnub/java,673,0,8,32,187,0,0,Other,,,,0,,,72,289,0,
com.rabbitmq.jms,rabbitmq-jms,1.4.7,https://github.com/rabbitmq/rabbitmq-jms-client,63,50,6,34,30,0,0,Other,,,,0,,,57,503,0,
com.schibsted.security,strongbox-sdk,0.4.0,https://github.com/schibsted/strongbox,239,23,18,10,11,0,0,Apache License 2.0,,,,0,,https://schibsted.github.io/strongbox/,9,100,0,
com.squareup,connect,2.0.2,https://github.com/square/connect-java-sdk/,39,25,3,21,21,0,0,Apache License 2.0,,,,0,,,36,86,0,
com.squareup.okio,okio-jvm,3.0.0-alpha.10,https://github.com/square/okio/,8768,1176,91,102,264,0,0,Apache License 2.0,,,,0,,https://square.github.io/okio/,1,1417,0,
com.upokecenter,cbor,0.23.0,https://github.com/peteroupc/CBOR,203,29,3,7,13,0,0,The Unlicense,,,,0,,,44,74,0,
com.upokecenter,cbor,4.0.0,https://github.com/peteroupc/CBOR-Java,42,10,1,3,7,0,0,The Unlicense,,,,0,,,20,23,0,
com.typesafe.akka,akka-stream-kafka,0.11-M1,https://github.com/akka/reactive-kafka.git,1417,387,111,131,73,0,0,Other,,,,0,,https://doc.akka.io/docs/alpakka-kafka/current/home.html,63,1672,0,
com.typesafe.akka,akka-http-core_2.13,10.1.8,https://github.com/akka/akka-http,1337,594,573,359,69,0,0,Other,,,,0,,https://doc.akka.io/docs/akka-http,65,3853,0,
com.typesafe.play,play-ws_2.12,2.6.0-M1,https://github.com/playframework/playframework,12540,4094,449,979,629,0,0,Apache License 2.0,,,,0,,http://www.playframework.com,74,12203,0,
com.usthe.sureness,sureness-core,0.0.1,https://github.com/tomsun28/sureness,861,160,21,17,30,0,0,Apache License 2.0,,,,0,,https://usthe.com/sureness,23,163,0,
com.vaadin,vaadin-server,7.4.0,https://github.com/vaadin/vaadin,551,50,0,20,33,0,0,,,,,0,,https://vaadin.com/docs/latest/ds/overview,19,67,0,
com.twitter,twitter-server_2.12,1.26.0,https://github.com/twitter/twitter-server.git,1574,265,3,127,190,0,0,Apache License 2.0,,,,0,,http://twitter.github.io/twitter-server/,75,74,0,
com.wire,lithium,3.3.0,https://github.com/wireapp/lithium,77,16,11,12,14,0,0,GNU General Public License v3.0,,,,0,,,24,121,0,
com.webauthn4j,webauthn4j-spring-security-core,0.7.0.RELEASE,https://github.com/webauthn4j/webauthn4j-spring-security,190,46,14,11,14,0,0,Apache License 2.0,,,,0,,,11,1529,0,
com.wix,wix-embedded-mysql,1.0.0,https://github.com/wix/wix-embedded-mysql.git,381,82,38,24,356,0,0,"BSD 3-Clause ""New"" or ""Revised"" License",,,,0,,,0,171,0,
com.xuxueli,xxl-job,1.4.1,https://github.com/xuxueli/xxl-job.git,27448,10860,1436,87,951,0,0,GNU General Public License v3.0,,,,0,,http://www.xuxueli.com/xxl-job/,33,2103,0,
com.yahoo.elide,elide-datastore-aggregation,6.1.3,https://github.com/yahoo/elide.git,1001,228,82,87,60,0,0,Other,,,,0,,https://elide.io,46,3086,0,
com.zaxxer,nuprocess,1.2.0,https://github.com/brettwooldridge/NuProcess.git,716,84,32,25,28,0,0,Apache License 2.0,,,,0,,,0,127,0,
de.averbis.textanalysis,pear-archetype,2.0.0,https://github.com/averbis/pear-archetype,2,1,0,7,5,0,0,Apache License 2.0,,,,0,,,3,13,0,
de.codecentric,spring-boot-admin,1.0.2,https://github.com/codecentric/spring-boot-admin,12347,3074,29,188,649,0,0,Apache License 2.0,,,,0,,,123,3689,0,
de.grobmeier.json,jjson,0.1.2,https://github.com/grobmeier/jjson,13,3,2,2,3,0,0,,,,,0,,http://code.grobmeier.de/jjson,0,1,0,
de.ipb-halle,molecularfaces,0.2.0,https://github.com/ipb-halle/MolecularFaces.git,2,2,0,2,5,0,0,Apache License 2.0,,,,0,,,5,3,0,
de.tum.in.ase,artemis-java-test-sandbox,1.0.0,https://github.com/ls1intum/artemis-java-test-sandbox,18,7,20,14,4,0,0,MIT License,,,,0,,https://ls1intum.github.io/Ares/,33,332,0,
