groupId,artifactId,version,githubUrl
com.tencyle.fixes,org.codehaus.jettison--jettison,1.1-tencyle-2.1.0,https://github.com/tencyle-fixes/jettison/tree/backport-jettison-1.1
com.upokecenter,cbor,0.23.0,https://github.com/peteroupc/CBOR
com.upokecenter,cbor,4.0.0,https://github.com/peteroupc/CBOR-Java
com.typesafe.akka,akka-stream-kafka,0.11-M1,https://github.com/akka/reactive-kafka.git
com.typesafe.akka,akka-http-core_2.13,10.1.8,https://github.com/akka/akka-http
com.typesafe.play,play-ws_2.12,2.6.0-M1,https://github.com/playframework/playframework
com.usthe.sureness,sureness-core,0.0.1,https://github.com/tomsun28/sureness
com.vaadin,vaadin-server,7.4.0,https://github.com/vaadin/vaadin
com.twitter,twitter-server_2.12,1.26.0,https://github.com/twitter/twitter-server.git
com.wire,lithium,3.3.0,https://github.com/wireapp/lithium
com.webauthn4j,webauthn4j-spring-security-core,0.7.0.RELEASE,https://github.com/webauthn4j/webauthn4j-spring-security
com.wix,wix-embedded-mysql,1.0.0,https://github.com/wix/wix-embedded-mysql.git
com.xuxueli,xxl-job,1.4.1,https://github.com/xuxueli/xxl-job.git
com.yahoo.elide,elide-datastore-aggregation,6.1.3,https://github.com/yahoo/elide.git
com.zaxxer,nuprocess,1.2.0,https://github.com/brettwooldridge/NuProcess.git
de.averbis.textanalysis,pear-archetype,2.0.0,https://github.com/averbis/pear-archetype
de.codecentric,spring-boot-admin,1.0.2,https://github.com/codecentric/spring-boot-admin
de.grobmeier.json,jjson,0.1.2,https://github.com/grobmeier/jjson
de.ipb-halle,molecularfaces,0.2.0,https://github.com/ipb-halle/MolecularFaces.git
de.tum.in.ase,artemis-java-test-sandbox,1.0.0,https://github.com/ls1intum/artemis-java-test-sandbox
dnsjava,dnsjava,3.5.0,https://github.com/dnsjava/dnsjava
edu.gemini,gsp-graphql-core_2.13,0.0.1,https://github.com/gemini-hlsw/gsp-graphql
fr.turri,aXMLRPC,1.8.2,https://github.com/gturri/aXMLRPC
io.airlift,aircompressor,0.3,http://github.com/airlift/aircompressor/tree/master
io.antmedia,ant-media-server,1.2.0,https://github.com/ant-media/Ant-Media-Server.git
io.arrow-kt,arrow-ank-gradle,0.8.0,https://github.com/arrow-kt/arrow/
io.digdag,digdag-server,0.10.0,https://github.com/treasure-data/digdag
io.fusionauth,fusionauth-java-client,1.37.0,https://github.com/FusionAuth/fusionauth-java-client
io.github.javaezlib,JavaEZ,1.6,https://github.com/JavaEZLib/JavaEZ
io.github.classgraph,classgraph,4.0.0-beta-11,https://github.com/classgraph/classgraph
io.github.skylot,jadx-core,1.3.1,https://github.com/skylot/jadx
io.github.karlatemp,unsafe-accessor,1.4.0,https://github.com/Karlatemp/UnsafeAccessor
io.github.talelin,lin-cms-core,0.0.1-RC1,https://github.com/TaleLin/lin-cms-java-core
io.gitlab.arturbosch.detekt,detekt-core,1.0.0.RC7-3,https://github.com/arturbosch/detekt
